Date,BTC.Open,BTC.High,BTC.Low,BTC.Close,LTC.Open,LTC.High,LTC.Low,LTC.Close,XRP.Open,XRP.High,XRP.Low,XRP.Close,ETH.Open,ETH.High,ETH.Low,ETH.Close,SHClose,SPClose,NKClose,MXClose,USDJPYClose,USDRUBClose,USDCNYClose
3/6/17,1277.68,1285.18,1268.81,1280.87,3.87,3.93,3.86,3.92,0.006129,0.006221,0.006047,0.006057,19.28,20.1,19.11,19.61,3233.87,2375.31,19379.14,2047.42,113.89,58.2036,6.8974
3/7/17,1280.87,1282.44,1188.17,1232.43,3.89,3.91,3.8,3.82,0.006057,0.006577,0.005974,0.006534,19.58,19.63,18.64,18.89,3242.41,2368.39,19344.15,2024.84,113.98,58.1777,6.9025
3/9/17,1150.48,1208.64,1135.09,1191.81,3.77,3.84,3.76,3.84,0.006485,0.006606,0.006423,0.006498,16.64,17.87,16.37,17.75,3216.75,2364.87,19318.58,1974.24,114.94,59.2998,6.9113
3/10/17,1191.81,1325.81,1022.68,1117.02,3.83,3.88,3.73,3.75,0.006503,0.006546,0.00605,0.006227,17.74,19.66,17.68,19.33,3212.76,2372.6,19604.61,1973.96,114.75,58.9965,6.9095
3/13/17,1229.5,1247.26,1216.21,1243.24,3.85,4.25,3.83,4.17,0.006271,0.006429,0.006156,0.006385,23.5,30.6,23.5,28.59,3237.02,2373.47,19633.75,2000.14,114.88,58.7928,6.9145
3/14/17,1243.24,1257.8,1227.11,1246.31,4.17,4.17,4.01,4.06,0.006346,0.006406,0.006277,0.006381,28.57,29.93,27.32,28.65,3239.33,2365.45,19609.5,2001.25,114.75,59.1627,6.915
3/15/17,1246.31,1260.42,1245.1,1259.6,4.05,4.18,4,4.16,0.00637,0.0065,0.006301,0.006314,28.65,35.06,28.43,35.06,3241.76,2385.26,19577.38,1992.59,113.38,58.396,6.9147
3/16/17,1259.6,1260.63,1132.45,1172.91,4.15,4.38,4.1,4.24,0.006319,0.006409,0.006213,0.006394,35.36,47.17,35.36,46.35,3268.94,2381.38,19590.14,2014.37,113.31,57.7819,6.898
3/17/17,1172.91,1172.91,1066.8,1070.13,4.23,4.23,4.04,4.06,0.006406,0.006406,0.00597,0.006116,45.93,55.11,38.21,46.83,3237.45,2378.25,19521.59,2036.96,112.72,57.2234,6.9034
3/21/17,1041.34,1119.07,1041.3,1115.04,4.04,4.04,3.98,4.01,0.006996,0.007075,0.006792,0.006909,43.51,44.26,42.37,43.15,3261.61,2344.02,19455.88,2048.07,111.72,57.698,6.887
3/22/17,1115.04,1115.17,990.7,1037.44,3.99,4.01,3.89,3.94,0.006908,0.00746,0.006882,0.007301,43.12,43.52,39.69,42.34,3245.22,2348.45,19041.38,2061.53,111.16,57.7887,6.8828
3/23/17,1037.44,1053.24,1016.83,1029.95,3.93,4,3.92,3.98,0.007284,0.010582,0.007258,0.010582,42.57,44.75,41.3,43.68,3248.55,2345.96,19085.31,2051.04,110.94,57.4353,6.8861
3/24/17,1029.95,1032.34,925.78,935.95,3.97,4.13,3.94,4.08,0.010528,0.010825,0.009135,0.010518,43.64,54.14,43.21,53.11,3269.45,2343.98,19262.53,2039.77,111.34,56.8904,6.8837
3/27/17,965.23,1042.9,958.77,1040.49,4.07,4.14,4.04,4.08,0.009482,0.010053,0.009155,0.009597,51.31,52.46,48.93,49.67,3266.96,2341.59,18985.59,2013.16,110.66,56.9101,6.8728
3/28/17,1040.49,1064.52,1017.17,1044.25,4.07,4.18,4.06,4.16,0.009568,0.009644,0.00928,0.009514,49.71,50.96,49.15,50.77,3252.95,2358.57,19202.87,2032.54,111.16,57.0335,6.8802
3/29/17,1044.25,1056.9,1010.05,1040.39,4.14,4.2,4.09,4.19,0.009526,0.010101,0.00952,0.010101,50.57,53.87,50.55,53.13,3241.31,2361.13,19217.48,2023.71,111.05,56.6068,6.89
3/30/17,1040.39,1051.85,1023.19,1037.53,4.18,7.04,4.15,6.98,0.010125,0.014126,0.010125,0.013276,53.12,53.31,51.87,52.21,3210.24,2368.06,19063.22,2021.88,111.92,56.0929,6.8894
3/31/17,1037.53,1087.73,1037.52,1079.75,7.02,7.07,5.85,6.67,0.013049,0.021776,0.013049,0.020889,51.75,51.77,47.38,50.04,3222.51,2362.72,18909.26,1995.9,111.39,56.2665,6.8871
4/5/17,1143.75,1145.82,1113.08,1135,8.25,11.42,7.96,11.09,0.037386,0.040178,0.035214,0.035544,44.66,47.84,44.54,45.3,3270.31,2352.95,18861.27,2056.32,110.7,56.379,6.8948
4/6/17,1135,1202.82,1135,1190.6,11.12,11.45,9.66,10.25,0.035672,0.036843,0.029463,0.032665,45.22,45.64,40.9,43.24,3281,2357.49,18597.06,2054.69,110.81,56.3955,6.8978
4/7/17,1190.6,1202.04,1176.37,1193.02,10.22,10.56,9.19,9.37,0.03274,0.036935,0.030789,0.036319,42.87,44.04,41.65,42.16,3286.62,2355.54,18664.63,2020.23,111.07,57.248,6.9004
4/10/17,1210.05,1219.06,1202.78,1213.34,8.72,9.2,8.19,8.92,0.034123,0.035091,0.032806,0.033598,43.28,44.14,42.42,43.44,3269.39,2357.16,18797.88,1971.23,110.94,57.1778,6.9031
4/11/17,1213.34,1232.15,1204.36,1224.77,8.91,9.28,8.66,8.85,0.033677,0.034576,0.032035,0.032952,43.5,44.25,43.3,43.41,3288.97,2353.78,18747.87,1977.95,109.62,56.9215,6.8923
4/12/17,1224.77,1228.26,1213.65,1216.5,8.83,11.06,8.83,10.79,0.033002,0.034794,0.032477,0.034336,43.46,47.23,43.11,46.29,3273.83,2344.93,18552.61,1947.88,109.03,56.6023,6.8915
4/13/17,1216.5,1222.26,1154.9,1178.53,10.76,10.77,9.93,10.15,0.034459,0.035574,0.033461,0.034383,46.31,50.91,46.31,50.22,3275.96,2328.95,18426.84,1944.7,109.09,56.2679,6.89
4/17/17,1184.79,1206.9,1181.78,1203.73,10.6,11.18,10.39,10.42,0.0334,0.03406,0.032955,0.033655,48.66,48.75,48.05,48.3,3222.17,2349.01,18355.26,1942.72,108.91,55.9267,6.8823
4/18/17,1203.73,1222.36,1203.39,1217.6,10.42,10.94,9.97,10.32,0.033638,0.034021,0.032866,0.033183,48.32,51.03,48.3,50.71,3196.71,2342.19,18418.59,1920.29,108.42,56.2408,6.8819
4/19/17,1217.6,1228.5,1209.18,1226.94,10.31,10.35,9.59,9.66,0.033181,0.033387,0.029687,0.030173,50.73,50.95,47.26,48.31,3170.69,2338.17,18432.2,1916.5,108.86,56.5833,6.888
4/20/17,1226.94,1262.85,1220.45,1255.4,9.63,10.66,9.59,10.33,0.030259,0.030611,0.027493,0.029984,48.13,49.99,48.13,49.67,3172.1,2355.84,18430.49,1932.17,109.32,56.2073,6.8822
4/21/17,1255.4,1275.05,1247.79,1257.13,10.29,11.54,10.16,11.23,0.029727,0.034044,0.029216,0.03278,49.64,49.66,48.14,48.22,3173.15,2348.69,18620.75,1944.72,109.08,56.4576,6.8859
